COUNTY,REGION
ALBANY,Capital
ALBANY,Capital
ALBANY,Capital
ALBANY,Capital
ALBANY,Capital
ALBANY,Capital
ALBANY,Capital
ALBANY,Capital
ALBANY,Capital
ALBANY,Capital
ALBANY,Capital
ALBANY,Capital
ALBANY,Capital
ALBANY,Capital
ALBANY,Capital
ALBANY,Capital
ALBANY,Capital
ALBANY,Capital
ALBANY,Capital
ALLEGANY,Western
ALLEGANY,Western
ALLEGANY,Western
ALLEGANY,Western
ALLEGANY,Western
ALLEGANY,Western
ALLEGANY,Western
ALLEGANY,Western
ALLEGANY,Western
ALLEGANY,Western
ALLEGANY,Western
ALLEGANY,Western
BROOME,Southern Tier
BROOME,Southern Tier
BROOME,Southern Tier
BROOME,Southern Tier
BROOME,Southern Tier
BROOME,Southern Tier
BROOME,Southern Tier
BROOME,Southern Tier
BROOME,Southern Tier
BROOME,Southern Tier
BROOME,Southern Tier
BROOME,Southern Tier
CATTARAUGUS,Western
CATTARAUGUS,Western
CATTARAUGUS,Western
CATTARAUGUS,Western
CATTARAUGUS,Western
CATTARAUGUS,Western
CATTARAUGUS,Western
CATTARAUGUS,Western
CATTARAUGUS,Western
CATTARAUGUS,Western
CATTARAUGUS,Western
CATTARAUGUS,Western
CATTARAUGUS,Western
CAYUGA,Central
CAYUGA,Central
CAYUGA,Central
CAYUGA,Central
CAYUGA,Central
CAYUGA,Central
CAYUGA,Central
CHAUTAUQUA,Western
CHAUTAUQUA,Western
CHAUTAUQUA,Western
CHAUTAUQUA,Western
CHAUTAUQUA,Western
CHAUTAUQUA,Western
CHAUTAUQUA,Western
CHAUTAUQUA,Western
CHAUTAUQUA,Western
CHAUTAUQUA,Western
CHAUTAUQUA,Western
CHAUTAUQUA,Western
CHAUTAUQUA,Western
CHAUTAUQUA,Western
CHAUTAUQUA,Western
CHAUTAUQUA,Western
CHAUTAUQUA,Western
CHAUTAUQUA,Western
CHEMUNG,Southern Tier
CHEMUNG,Southern Tier
CHEMUNG,Southern Tier
CHEMUNG,Southern Tier
CHENANGO,Southern Tier
CHENANGO,Southern Tier
CHENANGO,Southern Tier
CHENANGO,Southern Tier
CHENANGO,Southern Tier
CHENANGO,Southern Tier
CHENANGO,Southern Tier
CHENANGO,Southern Tier
CLINTON,North Country
CLINTON,North Country
CLINTON,North Country
CLINTON,North Country
CLINTON,North Country
CLINTON,North Country
CLINTON,North Country
CLINTON,North Country
COLUMBIA,Capital
COLUMBIA,Capital
COLUMBIA,Capital
COLUMBIA,Capital
COLUMBIA,Capital
COLUMBIA,Capital
CORTLAND,Central
CORTLAND,Central
CORTLAND,Central
CORTLAND,Central
CORTLAND,Central
CORTLAND,Central
DELAWARE,Southern Tier
DELAWARE,Southern Tier
DELAWARE,Southern Tier
DELAWARE,Southern Tier
DELAWARE,Southern Tier
DELAWARE,Southern Tier
DELAWARE,Southern Tier
DELAWARE,Southern Tier
DELAWARE,Southern Tier
DELAWARE,Southern Tier
DELAWARE,Southern Tier
DELAWARE,Southern Tier
DUTCHESS,Hudson Valley
DUTCHESS,Hudson Valley
DUTCHESS,Hudson Valley
DUTCHESS,Hudson Valley
DUTCHESS,Hudson Valley
DUTCHESS,Hudson Valley
DUTCHESS,Hudson Valley
DUTCHESS,Hudson Valley
DUTCHESS,Hudson Valley
DUTCHESS,Hudson Valley
DUTCHESS,Hudson Valley
DUTCHESS,Hudson Valley
DUTCHESS,Hudson Valley
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ERIE,Western
ESSEX,North Country
ESSEX,North Country
ESSEX,North Country
ESSEX,North Country
ESSEX,North Country
ESSEX,North Country
ESSEX,North Country
ESSEX,North Country
ESSEX,North Country
ESSEX,North Country
FRANKLIN,North Country
FRANKLIN,North Country
FRANKLIN,North Country
FRANKLIN,North Country
FRANKLIN,North Country
FRANKLIN,North Country
FRANKLIN,North Country
FULTON,Mohawk
FULTON,Mohawk
FULTON,Mohawk
FULTON,Mohawk
FULTON,Mohawk
FULTON,Mohawk
GENESEE,Finger Lakes
GENESEE,Finger Lakes
GENESEE,Finger Lakes
GENESEE,Finger Lakes
GENESEE,Finger Lakes
GENESEE,Finger Lakes
GENESEE,Finger Lakes
GENESEE,Finger Lakes
GREENE,Capital
GREENE,Capital
GREENE,Capital
GREENE,Capital
GREENE,Capital
GREENE,Capital
HAMILTON,North Country
HAMILTON,North Country
HAMILTON,North Country
HAMILTON,North Country
HERKIMER,Mohawk
HERKIMER,Mohawk
HERKIMER,Mohawk
HERKIMER,Mohawk
HERKIMER,Mohawk
HERKIMER,Mohawk
HERKIMER,Mohawk
HERKIMER,Mohawk
HERKIMER,Mohawk
HERKIMER,Mohawk
JEFFERSON,North Country
JEFFERSON,North Country
JEFFERSON,North Country
JEFFERSON,North Country
JEFFERSON,North Country
JEFFERSON,North Country
JEFFERSON,North Country
JEFFERSON,North Country
JEFFERSON,North Country
JEFFERSON,North Country
JEFFERSON,North Country
LEWIS,North Country
LEWIS,North Country
LEWIS,North Country
LEWIS,North Country
LEWIS,North Country
LIVINGSTON,Finger Lakes
LIVINGSTON,Finger Lakes
LIVINGSTON,Finger Lakes
